FOUNDER,REGION,PROJECT_ERA,GREAT_PERSON,SIGNATURE_FIRM,FOUNDER_STATUS,SECTOR,OUTPUT_CLASS,PRODUCT_SERVICE,TECH_GATE,CIVIC_GATE,AUDIT_STATUS,SOURCE,NOTE
"Patrice Motsepe","Africa","Atomic","Great Merchant","African Rainbow Minerals lineage","Founder","Mining / Materials","Functional Corporate Good","Mineral Concentrates / Metals","Dynamite","Capitalism","LOCK_CANDIDATE","https://arm.co.za/wp-content/uploads/2020/05/ar_2003.pdf","ARM records founder history through Future Mining and ARMgold; suitable mining founder."
"Gil Shwed","Middle East","Atomic","Great Engineer","Check Point","Co-founder","Cybersecurity Software","Service","Cybersecurity Software","Computers","Capitalism","LOCK_CANDIDATE","https://www.checkpoint.com/about-us/frequently-asked-questions/","Check Point first-party history names Gil Shwed, Marius Nacht and Shlomo Kramer as founders."
"Forrest Li","Southeast Asia","Information","Great Merchant","Sea","Founder","Digital Entertainment / E-commerce","Service","Digital Platform Services","Telecommunications","Capitalism","LOCK_CANDIDATE","https://www.sea.com/investor/corporategovernance/ForrestLi","Sea governance page identifies Forrest Li as founder."
"William Tanuwijaya","Southeast Asia","Information","Great Merchant","Tokopedia","Co-founder","E-commerce / Digital Marketplace","Service","E-commerce Services","Telecommunications","Capitalism","LOCK_CANDIDATE","https://www.gotocompany.com/en/news/press/goto-announces-new-leadership-structure-as-it-strengthens-corporate-governance-and-operational-efficiency","GoTo first-party material identifies Tanuwijaya as Tokopedia co-founder."
"Min-Liang Tan","Southeast Asia","Information","Great Engineer","Razer","Co-founder","Gaming Hardware / Electronics","Hybrid: Manufactured Luxury + Functional Corporate Good","Gaming Peripherals","Electronics","Capitalism","LOCK_CANDIDATE","https://www.razer.com/about-razer","Razer first-party history identifies Min-Liang Tan as co-founder."
"Anita Roddick","Europe/North America","Atomic","Great Merchant","The Body Shop","Founder","Cosmetics / Retail","Manufactured Luxury","Cosmetics","Chemistry","Capitalism","LOCK_CANDIDATE","https://www.thebodyshop.com/pages/about-the-body-shop","The Body Shop first-party history identifies Anita Roddick as founder."
"Cher Wang","East Asia","Atomic","Great Engineer","HTC","Co-founder","Mobile Electronics","Hybrid: Manufactured Luxury + Functional Corporate Good","Smart Devices","Electronics","Capitalism","LOCK_CANDIDATE","https://investors.htc.com/en/corporate-governance/board-of-directors/","HTC investor materials identify Cher Wang as co-founder."
"Huda Kattan","Middle East","Information","Great Merchant","Huda Beauty","Founder / brand creator","Cosmetics","Manufactured Luxury","Cosmetics","Chemistry","Capitalism","LOCK_CANDIDATE","https://hudabeauty.com/en-us/blogs/hudabeauty/celebrating-everything-that-s-happened-in-the-last-10-years","Huda Beauty first-party origin account supports founder/creator role."
"Lakshmi Mittal","South Asia","Atomic","Great Merchant","Mittal Steel / ArcelorMittal lineage","Founder-lineage","Steel","Functional Corporate Good","Steel Products","Steel","Capitalism","LOCK_CANDIDATE","https://corporate.arcelormittal.com/media/news/regulatory-news/lakshmi-n-mittal-to-become-executive-chairman-aditya-mittal-appointed-chief-executive-officer","ArcelorMittal first-party history traces the business founded by Lakshmi Mittal in 1976."
"Jim Casey","Europe/North America","Modern","Great Merchant","UPS","Co-founder","Logistics / Parcel Delivery","Service","Parcel Logistics","Railroad","Capitalism","LOCK_CANDIDATE","https://about.ups.com/us/en/our-stories/people-led/ups-founder-jim-casey.html","UPS first-party history identifies Jim Casey as founder/co-founder of the 1907 messenger company lineage."
