"POLICY_EN","PROJECT_ERA","CIVIC_EN","DECISION","SOURCE_KIND","SOURCE","SOURCE_UNLOCK","QUALITATIVE_EFFECT","ADAPTATION_NOTES","NUMERIC_STATUS","SOURCE_FILE","RECORD_ID","POLICY_SLOT","FINAL_EFFECT"
"Their Finest Hour","Modern","Suffrage","KEEP","CIV6","Civ6 GS","Suffrage","Defensive wartime democratic policy candidate","","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_a.csv","MC017","",""
"Lightning Warfare","Modern","Totalitarianism","KEEP","CIV6","Civ6 GS","Totalitarianism","Armored-unit production policy fits fascist/total-war branch","Moved from generic Ideology cleanup","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB002","",""
"Martial Law","Modern","Totalitarianism","KEEP","CIV6","Civ6 GS","Totalitarianism","War-weariness/loyalty policy retained","","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB003","",""
"Police State","Modern","Totalitarianism","KEEP","CIV6","Civ6 Ideology remap","Ideology","Police State final owner is Totalitarianism","Moved from generic Ideology","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB005","",""
"Third Alternative","Modern","Totalitarianism","ADAPT","CIV6","Civ6 GS","Totalitarianism","Apply Gold/Culture bonuses to Research Lab, Military Academy and Power Plant city buildings directly","","TBD_NUMERIC_BALANCE","tech_reference/modern_tech_civic_unlock_audit_v1_part_b.csv","MCB004","",""
"Containment","Atomic","Cold War","KEEP","CIV6","Civ6 GS","Cold War","City-state geopolitical competition policy retained","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv","AC012","",""
"Cryptography","Atomic","Cold War","KEEP","CIV6","Civ6 GS","Cold War","Espionage/counterespionage policy retained","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv","AC011","",""
"International Waters","Atomic","Cold War","KEEP","CIV6","Civ6 GS","Cold War","Late naval-production policy retained","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv","AC013","",""
"Second Strike Capability","Atomic","Cold War","CROSS_GATE","CIV6","Civ6 GS","Cold War","Nuclear maintenance/deterrence policy only matters after nuclear weapons exist","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv","AC014","",""
"Heritage Tourism","Atomic","Cultural Heritage","KEEP","CIV6","Civ6 GS","Cultural Heritage","Tourism from Great Works/Artifacts policy retained","Exact percentage later","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv","AC006","",""
"Nuclear Espionage","Atomic","Nuclear Program","KEEP","CIV6","Civ6 GS","Nuclear Program","Technology-stealing espionage policy retained","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv","AC002","",""
"Science Foundations","Atomic","Nuclear Program","KEEP","CIV6","Civ6 GS","Nuclear Program","Great Scientist/Engineer attraction policy fits concentrated strategic research programs","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_a.csv","AC001","",""
"After Action Reports","Atomic","Rapid Deployment","KEEP","CIV6","Civ6 GS","Rapid Deployment","Unit-experience policy retained","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv","ACB004","",""
"Military First","Atomic","Rapid Deployment","KEEP","CIV6","Civ6 GS","Rapid Deployment","Late-unit production policy retained","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv","ACB003","",""
"Integrated Space Cell","Atomic","Space Race","ADAPT","CIV6","Civ6 GS","Space Race","Retain production bonus for space projects; apply through Military Academy/Seaport/Space Launch Center city buildings rather than districts","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv","ACB010","",""
"Music Censorship","Atomic","Space Race","KEEP","CIV6","Civ6 GS","Space Race","Rock Band exclusion with domestic amenity cost retained conceptually","","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv","ACB012","",""
"Satellite Broadcasts","Atomic","Space Race","KEEP","CIV6","Civ6 GS","Space Race","Great Works of Music Tourism policy retained","Exact +200% source value can be balance-tested","TBD_NUMERIC_BALANCE","tech_reference/atomic_tech_civic_unlock_audit_v1_part_b.csv","ACB011","",""
"Hallyu","Information","Cultural Hegemony","KEEP","CIV6","Civ6 GS","Cultural Hegemony","Direct Civ6 policy; Rock Bands can access any promotion","If Rock Band promotion system is simplified, translate into stronger global music influence","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB010","",""
"Non-State Actors","Information","Cultural Hegemony","KEEP","CIV6","Civ6 GS","Cultural Hegemony","Direct Civ6 policy; Spies can access any promotion","Adapt to project's spy promotion system","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB011","",""
"Aerospace Contractors","Information","Exodus Imperative","ADAPT","CIV6","Civ6 GS","Exodus Imperative","Convert Spaceport requirement into Space Launch Center; preserve Power/Aluminum support concept","Source grants +3 Aluminum and +3 Power per Spaceport","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB018","",""
"Space Tourism","Information","Exodus Imperative","KEEP","CIV6","Civ6 GS","Exodus Imperative","Direct Civ6 policy concept; reduces foreign Tourism pressure","Exact 20% source value can be balanced","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB019","",""
"Ecommerce","Information","Globalization","KEEP","CIV6","Civ6 GS","Globalization","Trade-route Gold/Production policy retained","Exact source values may be balanced","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv","ICA003","",""
"International Space Agency","Information","Globalization","KEEP","CIV6","Civ6 GS","Globalization","Global city-state/science-space cooperation policy retained","Translate directly to project city-state system","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv","ICA002","",""
"Strategic Air Force","Information","Globalization","KEEP","CIV6","Civ6 GS","Globalization","Late global air-power production policy retained","","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv","ICA001","",""
"Integrated Attack Logistics","Information","Information Warfare","KEEP","CIV6","Civ6 GS","Information Warfare","Direct Civ6 policy","Convert GDR-only production bonus into broader advanced robotic/unmanned-unit logistics if GDR remains optional","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB001","",""
"Rabblerousing","Information","Information Warfare","KEEP","CIV6","Civ6 GS","Information Warfare","Direct Civ6 diplomatic-favor policy concept","If diplomatic-victory points are absent, retain Favor-recovery component only","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB002","",""
"Diplomatic Capital","Information","Smart Power Doctrine","KEEP","CIV6","Civ6 GS","Smart Power Doctrine","Direct Civ6 policy; generates Diplomatic Favor","","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB014","",""
"Global Coalition","Information","Smart Power Doctrine","KEEP","CIV6","Civ6 GS","Smart Power Doctrine","Direct Civ6 policy; defensive combat in friendly territory","","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_b.csv","ICB015","",""
"Collective Activism","Information","Social Media","KEEP","CIV6","Civ6 GS","Social Media","City-state-linked Culture policy retained","","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv","ICA008","",""
"Communications Office","Information","Social Media","ADAPT","CIV6","Civ6 GS","Social Media","Convert Governor-based loyalty to general administrative/media legitimacy if governors remain absent","Exact effect later","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv","ICA009","",""
"Online Communities","Information","Social Media","KEEP","CIV6","Civ6 GS","Social Media","Tourism via active trade routes retained","","TBD_NUMERIC_BALANCE","tech_reference/information_tech_civic_unlock_audit_v1_part_a.csv","ICA007","",""
