BUILDING_EN,PROJECT_ERA,CHAIN,PRODUCTION_COST,GOLD_MAINTENANCE,FOOD_FLAT,PRODUCTION_FLAT,GOLD_FLAT,SCIENCE_FLAT,CULTURE_FLAT,FAITH_FLAT,LOCAL_HAPPINESS,CITY_DEFENSE_STRENGTH,CITY_HP,FOOD_CARRYOVER_PERCENT,PRODUCTION_PERCENT,BUILDING_PRODUCTION_PERCENT,GOLD_PERCENT,SCIENCE_PERCENT,CULTURE_PERCENT,UNIT_XP_BONUS,SPECIALIST_TYPE,SPECIALIST_SLOTS,GPP_TYPE,FLAT_GPP,GREAT_WORK_TYPE,GREAT_WORK_SLOTS,AIR_CAPACITY_CHANGE,SPECIAL_EFFECTS,SOURCE_GRADE,NUMERIC_STATUS,NUMERIC_BASIS,VP_DISTRESS_REDUCTION,VP_POVERTY_REDUCTION,VP_ILLITERACY_REDUCTION,VP_BOREDOM_REDUCTION,VP_RELIGIOUS_UNREST_REDUCTION,MILITARY_SUPPLY_FLAT,MILITARY_SUPPLY_PERCENT,HEALTH_POINTS_PROVISIONAL,STABILITY_POINTS_PROVISIONAL,VP_AUDIT_STATUS,VP_AUDIT_REASON,POWER_LOAD,POWERED_BONUS,POWER_SOURCE_RULE,HEALTH_EFFECT_TYPE,HEALTH_POINTS_FINAL,SPONTANEOUS_PLAGUE_RISK_MULT,PLAGUE_DURATION_MOD_TURNS,HEALTH_OTHER_EFFECT,STABILITY_POINTS_FINAL,FINAL_MERGE_STATUS,FINAL_MERGE_SOURCES
Stock Exchange,Enlightenment,COMMERCE_TRADE,300,0,0,0,3,0,0,0,0,0,0,0,0,0,25,0,0,0,Merchant,1,,0,,0,0,VP_GOLD_PER_POPULATION=0.50; VP_GOLD_PURCHASE_COST_PERCENT=-20; VP_TRADING_POST_CUSTOMS_HOUSE_GOLD=+2,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified: Stock Exchange +3 Gold, one Merchant slot, +0.5 Gold/pop, -20% Gold purchase cost and +2 Gold on Trading Post/Customs House.",3,Gold+7,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2;POWER_V4
Archaeological Museum,Enlightenment,CULTURE_MEDIA,300,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,Artifact,3,0,VP_CULTURE_PER_POPULATION=0.25; VP_TOURISM_PER_POPULATION=0.25,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,1,0,0,0,0,0,PROJECT_VP_ADAPTED,VP Museum analogue: flat Boredom reduction 1 and 0.25 Culture/Tourism per population; applied to mutually exclusive museum branches.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Newspaper Office,Enlightenment,CULTURE_MEDIA,250,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,Writing,1,0,,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,1,0,0,0,0,0,0,PROJECT_VP_ADAPTED,Project mass-literacy/public-sphere building: Illiteracy reduction 1 added; Gold/Culture/Great Work values retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Aquarium,Enlightenment,ENTERTAINMENT,300,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,COASTAL_CITY_ONLY=1; WORKED_COASTAL_RESOURCE_REEF_SHIPWRECK_SCIENCE=+1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,1,0,0,0,0,0,PROJECT_VP_ADAPTED,Civ6 entertainment branch adapted to VP Needs: Boredom reduction 1; existing local Happiness retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Ferris Wheel,Enlightenment,ENTERTAINMENT,250,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,COASTAL_CITY_ONLY=1; TOURISM_FLAT=+2,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,1,0,0,0,0,0,PROJECT_VP_ADAPTED,Civ6 entertainment branch adapted to VP Needs: Boredom reduction 1; existing local Happiness retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Zoo,Enlightenment,ENTERTAINMENT,200,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,VP_FINISH_LAND_TRADE_TOURISM=5; VP_FINISH_SEA_TRADE_TOURISM=5; VP_INSTANT_SCIENCE=500; VP_FOREST_JUNGLE_CULTURE=+1; VP_FOREST_JUNGLE_TOURISM=+1,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,1,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified Zoo/Theatre: direct Happiness removed, Boredom -1, +2 Culture, trade Tourism, instant Science and forest/jungle Culture/Tourism.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Cloth Mill,Enlightenment,INDUSTRY_POWER,250,2,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,0,,0,,0,0,WORKED_COTTON_SHEEP_SILK_GOLD=+2,B_EE_ADAPTED,LOCKED_BUILDING_V1,"Pouakai Enlightenment Era effect restored: +1 Production, +10% Production, +2 Gold from Cotton/Sheep/Silk; cost/maintenance remain project-scaled; 47-resource/More Luxuries interaction audit required; Pouakai exact effect restored and resource set is source-explicit Cotton/Sheep/Silk only",0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Military Academy,Enlightenment,MILITARY_TRAINING,300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,,0,,0,,0,0,VP_LAND_UNIT_PRODUCTION_PERCENT=+15,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,1,0,0,0,0,1,0,0,0,VP_EXACT_ADOPTED,"VP verified: Military Academy gives Supply +1, Distress reduction 1, +1 Science, 25 XP and +15% land unit Production.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Chemical Laboratory,Enlightenment,SCIENCE_EDUCATION,250,2,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,Scientist,1,,0,,0,0,,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,1,0,0,0,0,0,0,PROJECT_VP_ADAPTED,Project intermediate science building: Illiteracy reduction 1 added to keep VP Needs progression.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Public School,Enlightenment,SCIENCE_EDUCATION,300,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Scientist,1,,0,,0,0,,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,1,0,0,0,0,0,0,VP_EXACT_ADOPTED,VP verified: Public School +3 Science and Illiteracy reduction 1; science-per-pop carryover removed.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Star Fort,Exploration,CITY_DEFENSE,300,0,0,0,0,0,0,0,0,10,25,0,0,0,0,0,0,0,,0,,0,,0,0,,B_EE_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Pouakai Enlightenment Era / project adaptation; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,5,0,0,PROJECT_VP_ADAPTED,VP defense-line adaptation: +5% city military supply; existing defense/HP values retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Musicians' Guild,Exploration,CULTURE_MEDIA,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Musician,2,Great Musician,3,,0,0,,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Opera House,Exploration,CULTURE_MEDIA,200,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,,0,,0,Music,1,0,VP_GREAT_MUSICIAN_RATE_PERCENT=33,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,"VP verified: Opera House has 3 Culture, +5% Culture and +33% Great Musician generation.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Navigation School,Exploration,MARITIME,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Great Admiral,2,,0,0,NAVAL_UNIT_XP=+10; COASTAL_CITY_ONLY=1,B_PROJECT_INTERPOLATED,LOCKED_BUILDING_V1,Project historical/interpolated balance,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Seaport,Exploration,MARITIME,250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,NAVAL_UNIT_PRODUCTION_PERCENT=+15; WORKED_SEA_RESOURCE_PRODUCTION=+1; WORKED_SEA_RESOURCE_GOLD=+1; PROJECT_SEA_RESOURCES=FISH|CRAB|PEARLS|WHALES|CORAL; VP_SEA_TILE_PRODUCTION=+1; VP_SEA_TILE_GOLD=+1; VP_SEA_RESOURCE_PRODUCTION=+2; VP_SEA_RESOURCE_GOLD=+2,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; 47-resource/More Luxuries interaction audit required; More Luxuries direct-building bonus absent; generic sea-resource bonus explicitly includes Coral; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,10,0,0,VP_EXACT_ADOPTED,"VP verified: Seaport +10% supply, +1 Production/+1 Gold on sea tiles and +2 Production/+2 Gold on sea resources.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Gunsmith,Exploration,MILITARY_TRAINING,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,GUNPOWDER_INFANTRY_PRODUCTION_PERCENT=+25,B_EE_ADAPTED,LOCKED_BUILDING_V1,Pouakai Enlightenment Era effect restored; cost/maintenance remain project-scaled,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Observatory,Exploration,SCIENCE_EDUCATION,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,,0,,0,,0,0,,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Artists' Guild,High Medieval,CULTURE_MEDIA,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artist,2,Great Artist,2,,0,0,,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Windmill,High Medieval,INDUSTRY_POWER,250,2,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,Engineer,1,,0,,0,0,,A_CIV5_BNW_EXACT,LOCKED_BUILDING_V1,Civ5 BNW direct numeric anchor,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Workshop,High Medieval,INDUSTRY_POWER,180,2,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Engineer,1,,0,,0,0,VP_PRODUCTION_PER_POPULATION=0.25; VP_FOREST_PRODUCTION=+1; VP_COST_AUDIT=120_TO_180,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,VP_EXACT_ADOPTED,VP production role adopted; project-era cost raised 120→180 because High Medieval placement made the BNW-era cost an outlier.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
University,High Medieval,SCIENCE_EDUCATION,200,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Scientist,1,,0,,0,0,SCHOLASTICISM_GPP_CONDITIONAL=+1_GREAT_SCIENTIST; SCIENTIFIC_REVOLUTION_SCIENCE_PERCENT_CONDITIONAL=+10; VP_WORKED_JUNGLE_SCIENCE=+1; VP_WORKED_SNOW_SCIENCE=+1; VP_SCIENCE_FROM_GROWTH_PERCENT=25; VP_COST_AUDIT=160_TO_200,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,1,0,0,0,0,0,0,VP_EXACT_ADOPTED,VP science role adopted; project-era cost raised 160→200 to fit High Medieval progression without changing later science-chain costs.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Foreign Ministry,High Medieval/Exploration,GOVERNMENT_DIPLOMACY,290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,CITY_STATE_LEVY_GOLD_COST_PERCENT=-50; LEVIED_CITY_STATE_UNIT_COMBAT=+4; GOVERNOR_TITLE_REMOVED=1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Grand Master's Chapel,High Medieval/Exploration,GOVERNMENT_DIPLOMACY,290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,BUY_LAND_MILITARY_UNITS_WITH_FAITH=1; PILLAGE_YIELDS_FAITH=1; GOVERNOR_TITLE_REMOVED=1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Intelligence Agency,High Medieval/Exploration,GOVERNMENT_DIPLOMACY,290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,SPY_CAPACITY=+1; SPY_OPERATION_SUCCESS_BONUS=PROJECT_EQUIVALENT_TO_SOURCE_HIGHER_CHANCE; GOVERNOR_TITLE_REMOVED=1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Military Base,Industrial,CITY_DEFENSE,500,0,0,0,0,0,0,0,0,12,25,0,0,0,0,0,0,0,,0,,0,,0,0,VP_HEAL_RATE_CHANGE=+20; VP_CITY_AIR_STRIKE_DEFENSE=+15; VP_AIR_UNIT_PRODUCTION_PERCENT=+25,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,1,0,0,0,0,0,5,0,0,VP_EXACT_ADOPTED,"VP verified: Military Base +5% supply, Distress -1, heal +20, air-strike defense +15 and air unit Production +25%.",0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Shopping Mall,Industrial,COMMERCE_TRADE,350,2,0,0,2,0,0,0,1,0,0,0,0,0,10,0,0,0,,0,,0,,0,0,TOURISM_FLAT=+4; POWERED_BONUS_HANDLED_BY_POWER_SYSTEM=POWER_V4,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,1,0,0,0,0,0,0,0,PROJECT_VP_ADAPTED,Project retail capstone: Poverty reduction 1 added; Tourism/Power interactions retained.,1,Gold+2; Local Happiness+1,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2;POWER_V4
Cinema,Industrial,CULTURE_MEDIA,300,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,Film,2,0,,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,1,0,0,0,0,0,PROJECT_VP_ADAPTED,Project film building: adopt VP entertainment/media role with Boredom reduction 1; existing Film slots retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Director's Guild,Industrial,CULTURE_MEDIA,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,2,Great Director,3,,0,0,,B_PROJECT_INTERPOLATED,LOCKED_BUILDING_V1,Project historical/interpolated balance,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Cold Storage,Industrial,FOOD_HEALTH,320,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0,,0,,0,0,FOOD_STORAGE_TRADE_LOSS_REDUCTION=PENDING_LOGISTICS_SYSTEM,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,2,0,PROJECT_VP_ADAPTED,Project refrigeration/food-chain building: Health +2 provisional; current Food/storage role retained.,0,,,FLAT,2,1.00,0,,0,MERGED_V5,BASE_V2;HEALTH_V1
Food Market,Industrial,FOOD_HEALTH,300,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,1,0,PROJECT_VP_ADAPTED,Food-distribution building: Health +1 provisional; current Food output retained.,1,Food+2,,FLAT,1,1.00,0,,0,MERGED_V5,BASE_V2;POWER_V4;HEALTH_V1
Hospital,Industrial,FOOD_HEALTH,360,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,HEALTH_SYSTEM_EFFECT=HEALTH_V1; VP_ALWAYS_HEAL=15; VP_NO_UNHAPPY_SPECIALIST_DIVISOR=2; VP_ALL_GP_SPECIALIST_FOOD=+1; VP_SCIENTIST_SCIENCE=+2; VP_ENGINEER_PRODUCTION=+2; VP_MERCHANT_GOLD=+2,A_CIV5_BNW_EXACT,VP_V2_AUDITED_PROVISIONAL,Civ5 BNW direct numeric anchor; Health & Plague layer must be audited before V2 lock; Health & Plague building-health value must be recovered/quantified; BNW +5 Food alone is incomplete but remains until explicit project override; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,1,0,0,0,0,0,4,0,VP_EXACT_ADOPTED,"VP verified: Hospital Poverty reduction 1, heal +15, specialist-unhappiness relief and specialist yields. Project Health +4 provisional; BNW +5 Food retained.",0,,,FLAT,4,1.00,-1,Plague duration reduction; final duration minimum 3 turns. Existing VP heal +15 remains separate.,0,MERGED_V5,BASE_V2;HEALTH_V1
Sewer,Industrial,FOOD_HEALTH,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,URBAN_HOUSING=+2; HEALTH_SYSTEM_EFFECT=HEALTH_V1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; Health & Plague layer must be audited before V2 lock; Sewer is project/GS sanitation adaptation rather than original H&P v19 building; quantitative Health effect requires project health pass; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,4,0,PROJECT_VP_ADAPTED,Project sanitation building: Health +4 provisional. Housing +2 retained; no unsupported direct VP counterpart forced.,0,,,FLAT,4,0.75,0,25% reduction to spontaneous plague emergence after Health and era multipliers; does not reduce import/transmission chance.,0,MERGED_V5,BASE_V2;HEALTH_V1
Telegraph Office,Industrial,GOVERNMENT_DIPLOMACY,300,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,TRADE_ROUTE_RANGE_PERCENT=+25; INFLUENCE_POINTS_PER_TURN=+1,B_PROJECT_INTERPOLATED,VP_V2_AUDITED_PROVISIONAL,Project historical/interpolated balance; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,1,PROJECT_VP_ADAPTED,Government/institution building: provisional Stability +1 added while existing unique effect is retained.,0,,,NONE,0,1.00,0,,1,MERGED_V5,BASE_V2;STABILITY_BUILDING_V1
Coal Power Plant,Industrial,INDUSTRY_POWER,400,3,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,0,,0,,0,0,REPLACES_POWER_PLANT_OUTPUT=1; POWER_SOURCE=COAL; REQUIRES_COAL=1; POLLUTION_SYSTEM_EFFECT=POWER_POLLUTION_BRIDGE_V1,B_CIV6_ADAPTED,LOCKED_BUILDING_V1,Civ6/direct-city adaptation to Civ5 scale,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,Coal capacity 1 -> 4 Power; network radius 6; emission HEAVY,NONE,0,1.00,0,Health externality comes through city pollution only.,0,MERGED_V5,BASE_V2;POWER_V4;HEALTH_V1
Factory,Industrial,INDUSTRY_POWER,360,3,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Engineer,1,,0,,0,0,VP_PRODUCTION_PER_POPULATION=0.25; PROJECT_MANUFACTORY_PRODUCTION=+1; VP_NO_UNHAPPY_SPECIALIST_DIVISOR=1,A_CIV5_BNW_EXACT,VP_V3_WORKER_GPTI_NERF,Civ5 BNW direct numeric anchor; Health & Plague layer must be audited before V2 lock; Health & Plague industrial Health/Disease layer must be quantified before final lock; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,0,0,0,0,0,PROJECT_VP_ADAPTED_WORKER_GPTI_NERF,Manufactory is an ordinary Worker-built NoTwoAdjacent improvement in this project; VP +2 Production is reduced to +1 to avoid turning repeatable Manufactories into quasi-Great-Person improvements.,2,Production+3,,NONE,0,1.00,0,Health externality comes through city pollution only.,0,MERGED_V5,BASE_V2;V3;POWER_V4;HEALTH_V1
Power Plant,Industrial,INDUSTRY_POWER,320,2,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,0,,0,,0,0,BASE_POWER_GRID=1; SOURCE_SPECIFIC_PLANT_CAN_REPLACE_OUTPUT=1; POWER_SYSTEM_OUTPUT=POWER_V4,B_CIV6_ADAPTED,LOCKED_BUILDING_V1,Civ6/direct-city adaptation to Civ5 scale,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,Oil capacity 1 -> 4 Power; network radius 6; emission MODERATE,NONE,0,1.00,0,Health externality comes through city pollution only.,0,MERGED_V5,BASE_V2;POWER_V4;HEALTH_V1
Steelworks,Industrial,INDUSTRY_POWER,400,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,ARMORED_AND_NAVAL_UNIT_PRODUCTION_PERCENT=+20,B_PROJECT_INTERPOLATED,LOCKED_BUILDING_V1,Project historical/interpolated balance,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Drydock,Industrial,MARITIME,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,NAVAL_UNIT_TRAINED_COMBAT_STRENGTH_PERCENT=+15,B_EE_ADAPTED,LOCKED_BUILDING_V1,Pouakai Enlightenment Era effect restored: trained naval units +15% Combat Strength; cost/maintenance remain project-scaled,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Shipyard,Industrial,MARITIME,300,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,COASTAL_SEA_TILE_PRODUCTION=+1,B_CIV6_ADAPTED,LOCKED_BUILDING_V1,Civ6/direct-city adaptation to Civ5 scale,0,0,0,0,0,0,0,0,0,KEEP_V1_BASE,No verified VP numeric conflict; retain project/Civ5/Civ6 baseline pending global cost curve.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
Sanctuary,Industrial,RELIGION_NATURE,350,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,UNIMPROVED_NATURAL_TILE_FAITH=+1; UNIMPROVED_NATURAL_TILE_CULTURE=+1,B_CIV6_ADAPTED,VP_V2_AUDITED_PROVISIONAL,Civ6/direct-city adaptation to Civ5 scale; VP 2026 master verified/adapted building-system pass; project Health/Stability values provisional.,0,0,0,0,1,0,0,0,0,PROJECT_VP_ADAPTED,Late conservation/religion-nature capstone: Religious Unrest reduction 1 added as VP-style role; natural-tile effects retained.,0,,,NONE,0,1.00,0,,0,MERGED_V5,BASE_V2
